epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,2787.97,0.53577,0.44241,1.43721,0.81121,0.75201,0.80542,0.67925,0.65153,0.75021,1.52965,0.0002773,0.0002773,0.0002773
75,2824.55,0.52679,0.43295,1.42054,0.79556,0.77328,0.81132,0.68757,0.64128,0.69571,1.52262,0.0002674,0.0002674,0.0002674
76,2861.47,0.54437,0.44909,1.4537,0.78086,0.77026,0.80135,0.67865,0.6444,0.69554,1.52934,0.0002575,0.0002575,0.0002575
77,2899.73,0.53208,0.4372,1.41169,0.77803,0.79915,0.81429,0.69123,0.64107,0.72192,1.54005,0.0002476,0.0002476,0.0002476
78,2937.94,0.5129,0.41844,1.3904,0.75412,0.79449,0.8072,0.68044,0.64733,0.72781,1.50565,0.0002377,0.0002377,0.0002377
79,2974.98,0.52736,0.4352,1.4464,0.79315,0.76049,0.80186,0.68053,0.64027,0.73799,1.49954,0.0002278,0.0002278,0.0002278
80,3012.62,0.51269,0.42332,1.40125,0.79839,0.75833,0.79672,0.67217,0.63303,0.73364,1.51297,0.0002179,0.0002179,0.0002179
81,3051.32,0.51897,0.41149,1.42436,0.81197,0.74333,0.79977,0.67473,0.6325,0.74053,1.5197,0.000208,0.000208,0.000208
82,3088.56,0.50937,0.40568,1.4222,0.76603,0.80361,0.80025,0.67689,0.6357,0.72978,1.53549,0.0001981,0.0001981,0.0001981
83,3126.83,0.51332,0.42002,1.43902,0.80566,0.7861,0.81316,0.68672,0.64539,0.7255,1.50333,0.0001882,0.0001882,0.0001882
84,3165.59,0.50271,0.40999,1.41278,0.80272,0.7823,0.80644,0.68044,0.62976,0.71378,1.50648,0.0001783,0.0001783,0.0001783
85,3203.13,0.51814,0.41717,1.39912,0.81667,0.74819,0.80435,0.67904,0.62967,0.71196,1.50944,0.0001684,0.0001684,0.0001684
86,3240.36,0.51108,0.40739,1.40474,0.79073,0.7896,0.81007,0.68971,0.62325,0.70128,1.51283,0.0001585,0.0001585,0.0001585
87,3279.09,0.50078,0.40053,1.40202,0.82584,0.77213,0.81689,0.69051,0.62918,0.70358,1.48133,0.0001486,0.0001486,0.0001486
